,C3,C4,EMT,C10,ciliated,P-value,Correlation,RMSE
HH-131,0.158233812,0,0.682280994,0.159485194,0,0.308,0.151399668,1.141586109
HH-132,0,0,0.98793111,0.01206889,0,0.091,0.32526098,1.120296484
HH-052,0.03112176,0.003587423,0.930455402,0,0.034835415,0.183,0.236561598,1.160991834
HH-057,0,0,0,1,0,0.343,0.136969138,1.099862957
HH-086,0.475448611,0.244019981,0.280531408,0,0,0.356,0.128816096,1.163239431
HH-120,0.100245952,0,0.760494391,0.139259656,0,0.286,0.169534462,1.148688071
HH-143,0.847019883,0.147898486,0.005081631,0,0,0.013,0.502766392,0.964901831
HH-144,0.789293384,0.170250245,0.040456372,0,0,0.228,0.204686966,1.194811823
HH-145,0.816094556,0,0.183905444,0,0,0.096,0.318275539,1.09639967
HH-146,0,0,0.807364109,0.192635891,0,0.062,0.375353551,1.004355427
HH-147,0,0.241185583,0.642662111,0.086379903,0.029772404,0.242,0.19418008,1.082048473
HH-148,0,0.342681094,0.045121698,0.612197208,0,0.408,0.095526014,1.095474068
HH-149,0.262710528,0.466374023,0.006503397,0.264412052,0,0.185,0.233630958,1.070691666
HH-150,0,0.04030571,0.92682168,0.019948124,0.012924485,0.248,0.190847647,1.19316917
HH-008,0,0,1,0,0,0.241,0.197823901,1.227344576
HH-031,0.076133219,0.643910035,0.026217476,0.25373927,0,0.024,0.465933474,0.900969569
HH-133,0.42539873,0.57460127,0,0,0,0.205,0.220420494,1.131235602
HH-134,0.534663222,0.335945997,0.04282729,0,0.086563491,0.051,0.399485436,0.983005365
HH-135,0,0.730378406,0.189541937,0.080079658,0,0.507,0.05858964,1.136098571
HH-136,0,0.147015127,0.664162885,0.188821988,0,0.245,0.193048896,1.08903163
HH-137,0,0.459057261,0.147002666,0.393940073,0,0.401,0.097660466,1.08628402
HH-138,0.252628757,0.484853354,0.262517889,0,0,0.341,0.137319861,1.125002359
HH-139,0,0.685113217,0,0.314886783,0,0.085,0.332421314,0.9848765
HH-140,0.093217625,0.307314526,0.001900983,0.595162335,0.002404531,0.222,0.210894233,1.050534787
HH-141,0.366117767,0.216191937,0.361163796,0,0.056526501,0.353,0.130370522,1.126761009
HH-142,0.760363527,0,0.239636473,0,0,0.048,0.405399057,1.013295284
