Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-61-1910-01	0	0.00538310494580827	0.0009	0	0	0.19803835230008884	0	0.0780296673337744	0.09241390914747148	0	0.0638799993168421	0	0	0.26651622854596096	0.03325898230637275	0.21777474817069867	0	0.01020511661454876	0	0.03358653288647038	0	0	0.26	0.07632343136577957	1.0790690766799669
TCGA-61-1728-01	0	0.007302419945588106	0.018332544193406117	0	0	0.28332676889235	0	0.030880124335877092	0.07909059446570697	0	0.03263758677605697	0.004509762541199353	0	0.4012928483490312	0.0012090645790140166	0.1377755514849733	0	0	0.003642734436796928	0	0	0	0.04	0.1627514993300197	1.058735342203966
TCGA-09-1666-01	0.0984461989497934	0	0.017631972207275415	0.08237078358338332	0	0.1170410925339197	0	0.06978345862789934	0.026947037479089723	0	0.03310853111741464	0	0	0.11870655241330576	0.13703072211714934	0.23426396206942562	0	0.04328316164335744	0.021386527257986346	0	0	0	0.04	0.16812400565822092	1.028501063258432
TCGA-24-1469-01	0.09854777868607185	0	0.10185625749374223	0.02315610964492465	0	0.1634102268757753	0	0.04435624809036147	0.053899190802860764	0	0.016524092873974897	0.025056396239975305	0	0.2705678942799506	0.09249071624547606	0.09981160897645924	0	0	0.010323479790427614	0	0	0	0.09	0.12394253273669481	1.0428377023463333
TCGA-04-1348-01	0.0016550814204760033	0.002115573010773078	0.00854035079247496	0.05985724172225305	0	0.08577898795336636	0	0.1305407423508736	0.051230934080904865	0	0.018998907858501272	0.030455841577220383	0.05774073673592411	0.31381265488768983	0.07417395941878892	0.14474054480360235	0	0	0	0.020358443387151315	0	0	0.01	0.2802347451044102	0.9838183270682248
TCGA-61-1917-01	0.019110953592742803	0	0.038801339935183844	0.03552174933006192	0	0.16782709323271727	0	0.028154360405975777	0.051422471179274246	0	0.021889681201749507	0.026464323615521188	0.024952745453282733	0.27706515707584617	0.08475629532360258	0.22403382965404195	0	0	0	0	0	0	0.01	0.281426989709743	0.982200445755242
TCGA-61-2009-01	0.0005	0.0027454033119118817	0	0	0	0.24042933187544652	0	0.019434490292840716	0.04020504061503386	0	0.014259132656667978	0.005352018685545835	0.04404465318432	0.09880198451657547	0.09866332805589224	0.30498331639177195	0.006865972603757374	0	0.12367230909773425	0	0	0	0.04	0.18251164107399317	1.0174087887761816
TCGA-31-1950-01	0.07189034417308644	0	0.14697381603014795	0	0	0.13605179738118425	0	0.14924700024244134	0.009692981167106962	0	0	0.03603870402393944	0.030730244283838203	0.019792884381411035	0.14233662344833595	0.1395929927550087	0	0.054736752607482876	0.06291585950601689	0	0	0	0.3	0.06198310988396865	1.0582133192685377
TCGA-31-1951-01	0.0016676160530234023	0	0.06451096385246764	0	0	0.31400058397521763	0	0.07042462608716334	0.046456445944516846	0	0.06270448871531192	0.015236489261459025	0.024541135995705468	0.1646041323236391	0.10309719698181352	0.043942963092735314	0	0	0.08881335771694679	0	0	0	0.12	0.11247988047856683	1.0452527325883165
TCGA-61-1995-01	0.009642983087232949	0	0	0.05138868546895469	0	0.2120262738403744	0	0.03737601651079747	0.10377659279004597	0	0	0.03578315030153259	0.03159879334334391	0.04024393762676638	0.0515228890387244	0.40308266323255104	0	0	0.02355801475967621	0	0	0	0.22	0.08782321769016202	1.0646074169699573
TCGA-24-2297-01	0.09793188998051645	0	0.16052188875627488	0	0	0.2155579719042736	0	0.0952046776962302	0.02020791358424622	0	0	0.04462439641166535	0.03403908068884028	0.07134294151039271	0.009078592551780156	0.14030336460086432	0	0.11118728231491586	0	0	0	0	0.58	0.01828411493239351	1.0632498593474604
TCGA-24-1555-01	0	0.003025582079469207	0.03577047563631212	0	0	0.3009598955827803	0	0.05059442449383222	0.12465865646570665	0	0.04708474071192886	0	0.039252577175645835	0.31356649051392793	0.0071149267198543555	0	0	0	0.06713141541307224	0	0	0.010840815207470258	0.15	0.10159851118644454	1.0633031681192342
TCGA-25-1322-01	0	0	0.05727546705453497	0	0	0.30705314180157606	0	0.07763894035207387	0	0	0.023487522642599873	0.06002225778230747	0.02337262865620122	0.004522242186424506	0.006425089822653307	0.26939184119712783	0	0.1166870694686485	0.05311335186603219	0	0	0.0010104471698201918	0.34	0.050149563272415744	1.0657660846495258
TCGA-24-1427-01	0.008233005260166003	0.017812527997613688	0.040880139169389554	0.10371378622505388	0	0.19877713627099078	0	0.06907758427083412	0.06862593365912982	0	0.029555720802220305	0	0.024101638927801778	0.006481512163893558	0.03274469658316041	0.34993438242241665	0	0.0040117635830304345	0.046050172664299026	0	0	0	0.29	0.07121370948439869	1.0603016340171296
TCGA-29-1698-01	0.0725542931897794	0	0.09816130026226039	0.03203176290766995	0	0.14057851990390763	0	0.06519119990805516	0.09153836491247373	0	0	0.04504972546631813	0.028424351223503647	0.06665028564145123	0.0805690835413658	0.2596180388834428	0	0	0.0196330741597721	0	0	0	0.46	0.03579015897011133	1.0653986143555412
TCGA-23-1023-01	0.045593701971567285	0	0.013605361010653906	0	0	0.23475394256736928	0	0.13273726078236148	0.04428192520056434	0	0.019773659120300408	0.028127872530820854	0.029797980891937997	0.18026197350534773	0.15023051958545386	0.08156822004859193	0	0.00551346126410636	0.03375412152092458	0	0	0	0.07	0.13380197580194	1.046907607005037
TCGA-13-0924-01	0.039038088142588405	0	0.04012041978369898	0.17447584813626185	0	0.08728214389787597	0	0.08277483005134083	0.08454913355937418	0	0	0.041914973107526544	0.04769998392742994	0.053469481372956006	0.06639821251403961	0.23356524959660943	0	0	0	0.04871163591029829	0	0	0.04	0.1922608303179176	1.0105781093551036
TCGA-24-1847-01	0.056869202294319944	0	0.04499683700535409	0.16621287732130155	0	0.19525928031377598	0.005371226884561855	0.03146552942418406	0.07425704036532695	0	0.033410685800118044	0.0014540803172771572	0.02474459619279755	0.05319953294149941	0.11862899446127481	0.17404712765426872	0	0	0.020082989023939887	0	0	0	0.01	0.23941456733925912	0.9938639215882024
TCGA-24-1843-01	0	0.006845780837271371	0.09954177083276146	0.0877959732134619	0	0.10457697913369511	0	0.00921646272552935	0.05196887617980088	0	0	0.024815843058939187	0.004032809789483002	0.3806481391156712	0.03698181972755593	0.1935755453858307	0	0	0	0	0	0	0.01	0.3735132142472115	0.9400159429718475
TCGA-25-1321-01	0	0.01024708251893063	0.020349982765412125	0	0	0.3222769890952108	0	0.08673353252210857	0.07737985799106442	0	0.017292576909971855	0.025896970235569423	0.07042183331595787	0.18087011375647627	0.011963209251321754	0.02655721189384031	0	0.004165966963805911	0.138201421132824	0	0.007643251647506084	0	0.33	0.055374683521277814	1.0695322184447416
TCGA-30-1891-01	0.050876861661813655	0	0.07394462090455069	0.11055384878006838	0	0.15444123377085192	0	0.01037028788887221	0.03382991648168756	0	0.026188313756630412	0	0	0.14583567445399054	0.04936484097596453	0.307161797013813	0	0	0	0.014797985494426234	0	0.022634618817330837	0.15	0.10220447561400517	1.0510020411932113
TCGA-25-1326-01	0.009618284286890528	0	0.0572961154206323	0.011311475788053079	0	0.26314726011948825	0	0.030463724966565287	0.056134738426759596	0	0	0.04776716871958832	0.020847047544229093	0.11786872167147325	0.09292736830832903	0.2687342113836873	0	0	0.020325616722204745	0	0	0.003558266642099315	0.04	0.15806998588769108	1.0277043089826736
TCGA-29-2414-01	0.19324327993779267	0	0.16627326330243677	0	0	0.115620073446646	0	0.04635195545632749	0.03876084376359583	0	0	0.016501546498478313	0	0.298942381895014	0	0.05829522082183233	0	0	0.06601143487787663	0	0	0	0.3	0.059305232549477144	1.0637548087231412
TCGA-09-1670-01	0	0.0019887463168043267	0.0035669854125005016	0.06309379894780193	0	0.1942523239643196	0	0.03257145700573902	0.03980887027141071	0	0.007367137119103619	0.009654155094050494	0.04534746899902852	0.026196539806430517	0.03740398048987853	0.3759022104569249	0	0	0.16284632611600736	0	0	0	0.3	0.060363551756965374	1.066813299685493
TCGA-24-2033-01	0.17749237595295617	0	0.08470327244192083	0.1882989631432074	0	0.11965121611856765	0	0.07782475140105596	0.06270746362286739	0	0	0	0.0280136452753765	0.22618946605165544	0.002487407517749361	0.027041929356422748	0	0	0	0	0.004622991852440597	0.001	0.34	0.05231499655200859	1.0763236911357115
TCGA-29-2414-02	0.04216287850716871	0	0	0.09223214454310251	0	0	0	0.16914830097600939	0.016207218613306935	0	0.005546142592820756	0.06329125366368499	0.0012625909907485384	0.18697985720048932	0.1255315266054345	0.17056877199782272	0.014297065683902762	0	0.11277224862550883	0	0	0	0.03	0.19717167245524475	1.0144349118928295
TCGA-61-1741-01	0.10607612379756153	0	0.14674646561292853	0.024310482436110906	0	0.056277846267012696	0	0.09208753325458223	0.04897963677727073	0	0.004470665402987394	0.0040959247512923095	0	0.26914007441124177	0.0904167702313739	0.15513736405435252	0	0	0.002261113003285522	0	0	0	0.2	0.0899077678019457	1.0571046542677698
TCGA-31-1953-01	0.014637429811629311	0	0.0005	0.051410107379050635	0	0.11644223637853213	0	0.03716047354891539	0.05004076855360368	0	0.0242797876565	0.030475950883509496	0.03427753137130306	0.2553148313140511	0.07721701254677088	0.2741047897246057	0.013654920410327289	0	0.02046453543795863	0	0	0	0.01	0.3330782787539856	0.9569389521894983
TCGA-30-1855-01	0.05768652247499004	0	0.004435859343609231	0.07007921431181716	0	0.16485077418161073	0	0.06233663282098146	0.09854330763249673	0	0.010953274688023991	0.018269724100628215	0.021123404969255678	0.14799603484609897	0.0816837794746307	0.2506243858592229	0	0	0.011417085296634195	0	0	0	0.08	0.12575155297235865	1.044380393166311
TCGA-25-1324-01	0.006067969681881456	0.029354105362142238	0.04113066239297765	0	0	0.2080034150268651	0	0.1991059387407576	0.037252811077044	0	0.07814626230634408	0	0.05760778016912268	0.1523450930936933	0.049925329225181836	0.030163129331242395	0	0.04827460901254842	0.06262289458019925	0	0	0	0.68	0.00911053884210618	1.0820931702160983
TCGA-09-2056-01	0	0.00433504018370164	0.04883398957489048	0.05214652498851562	0	0.1800904548585144	0	0.0369685256728492	0.05544805842081905	0	0	0.03132345043831598	0.016944865538388042	0.039741665678188105	0.05390926264174118	0.31795710282260753	0.006615786656272093	0.024169596589342326	0	0.12835221965316795	0.001	0.0021857250644960373	0.29	0.06775323569849517	1.065916490755426
TCGA-29-1701-01	0	0.012867321299621556	0.027703881623520343	0.03634998528194365	0	0.21657683436383396	0	0.05728166258228531	0.013701748596657827	0.04570017896478666	0	0.04090709430450845	0.02610084655805253	0	0.11590753721323156	0.3069255341881826	0.0008	0.0001	0.09916386454855396	0	0	0	0.05	0.1550917789619464	1.0279137735895152
TCGA-25-1633-01	0.08616499031182752	0	0	0.1403751449143383	0	0.1715639879561246	0.011392898054306417	0.07813858429296874	0.06420957559954282	0	0.02629908546903608	0	0.029983143648050166	0	0.07579954109668077	0.29206997202791146	0	0.0014684194101596776	0	0.013243155684514172	0	0.00929150153453925	0.13	0.1108442023463373	1.0491489849637476
TCGA-25-2396-01	0	0	0.05843969245788786	0.06155083489703098	0	0.2754373089473915	0	0.07686657219966554	0.09098902214174999	0	0.02906754799143849	0.003622804664196207	0.031185589917472903	0.10767916280341401	0.12343509479808774	0.0946715107718699	0	0	0.04705485840979487	0	0	0	0.11	0.12139372814279233	1.0461039298303714
TCGA-61-1914-01	0.030826417691761573	0	0.11869575088420842	0	0	0.062042225606403295	0	0.08286500232547163	0	0	0	0.03756998486965847	0.03158278104809771	0.035923042601046	0.17023101648685815	0.3844133014238801	0	0.008575568804208874	0	0.03334730778532632	0	0.0039276004730794244	0.04	0.18383946687351282	1.029176356271279
TCGA-61-2094-01	0.01586413434964837	0.002360035214335405	0.05876212496468532	0.13407691816381487	0	0.1976678487830767	0	0.045194032389037964	0.08827483962815617	0	0.042239385228475236	0	0	0.1299831922712227	0.10578080247928502	0.17979668652826225	0	0	0	0	0	0	0.01	0.2755976017247404	0.9782827120533992
TCGA-29-1705-01	0.06228224065190529	0	0.008030759319345136	0.015169997728511148	0	0.2086462943963969	0	0.007719810843528285	0.03162202186120542	0	0.026780643839967	0	0.0008	0.26908419105181	0.05559781923267831	0.3078943134756713	0	0	0	0.006362851170688526	0	0	0.07	0.13072084448591026	1.0615492037196073
TCGA-36-1580-01	0.014279996847587661	0	0	0.0943047017244703	0	0.1608213030798937	0	0.028510535342105448	0.07824955843360829	0	0	0.04217272542659742	0.01940073060752934	0.2889832018132167	0.06283681942454979	0.18738155376624308	0	0	0.023058873534198318	0	0	0	0.05	0.1555340346551773	1.0444413920022426
TCGA-25-2401-01	0.027465793022802724	0	0.014756143166543549	0.014828563398341552	0	0.17216795872819798	0	0.056672235611286786	0.03947926022671331	0	0.01191849730230542	0.013792758731436662	0.0596463650858775	0.06385130597047758	0.11605516835376771	0.3828646225820433	0	0.011788525077708849	0.00585816752212288	0	0	0.008854635220374194	0.01	0.23467310392004362	1.0006479847330103
TCGA-5X-AA5U-01	0	0.001549021795911385	0.05233512098878466	0	0	0.29456274441962704	0	0.10795612163099527	0.008387186600882505	0	0.033641150843252275	0.024893718264274712	0.005948527454856629	0.40609213534978383	0	0.0005	0	0	0.035661795959365396	0	0.028427437253037008	0	0.26	0.08137313241834675	1.0886228070720387
TCGA-13-0916-01	0.06393445446467455	0	0.028697468697866133	0.0716026473252967	0	0.07163808882109743	0	0.12817725267474236	0.06467672806197594	0	0.004495175388956259	0.00890140296240694	0	0.25081110687598884	0.17174706843389753	0.11938947899796068	0	0	0.015929127295136507	0	0	0	0.01	0.23147631989008471	1.009259349812212
TCGA-23-2084-01	0.06267977891990015	0	0.0881009740555622	0.025538523426996237	0	0.12340451938003488	0	0.040065081426926226	0.030394102907307093	0	0.022986321252935756	0.023088632293116928	0.1458999801582584	0	0.0670816211190892	0.2403890518934512	0	0.10551108542711757	0.020587237746704627	0	0	0.004273089992599535	0.29	0.06812230564064177	1.05215790339429
TCGA-36-1577-01	0	0	0.03969311392700059	0.1647214147306478	0	0.051868615066599004	0	0.016472462009740698	0.05604958136792178	0	0.04236477164219833	0.05506046972796469	0.13081198113672993	0.40569440264012635	0	0	0	0	0.031015284366459877	0	0.006247903384610928	0	0.58	0.01883140071749471	1.1196818405601672
TCGA-24-1551-01	0	0.008527045451320553	0.04443327488799512	0.059006741619723226	0	0.1228859328855891	0	0.005832219712223396	0.0973029962679832	0	0.013236388680660342	0.03977192993709484	0.05120071732335546	0.2744348569675579	0.06420665341601854	0.186306111224367	0	0	0.03285513162611132	0	0	0	0.01	0.29880241749337993	0.9692247661282216
TCGA-61-1998-01	0.028995732556189993	0	0	0	0	0.07336277248160582	0	0.003934619410233884	0.03017327448160035	0	0.0015605936873025897	0.021309766310227688	0.02382857671111626	0.5033791505135091	0.023239495789643475	0.2684385513358493	0	0	0.021777466722721458	0	0	0	0.01	0.28452049613248726	1.0291589364355642
TCGA-20-1684-01	0	0	0.067772207211584	0.11038602126688755	0	0.07132346766746163	0	0.10660653634572155	0.05816963008580716	0	0	0.0392576115092859	0.025112298310043107	0.2480905566483863	0.07343103923769874	0.08423702604980962	0	0.01725616649067246	0.09680274385897648	0	0	0.001554695317665532	0.33	0.05639710781822826	1.0675263471197531
TCGA-24-1556-01	0.07532305626701508	0	0.045999064252653064	0.06948245137656936	0	0.09823558460200164	0	0.044276608067672175	0.06023477176186374	0	0.04754845806462399	0.003857888216282412	0.01437449039929625	0.13697599151476883	0.0878107844040212	0.22617619355968388	0	0.07992865906582576	0.009775998447722645	0	0	0	0.12	0.11469178737888354	1.0447209397936656
TCGA-57-1582-01	0.07480914021867442	0	0.19602704795435189	0.029917716404829528	0	0.16869944406326337	0.0017218543871457053	0.049516322835884856	0.03946474422166936	0	0	0	0.02933860613030268	0.07861136726148332	0.07564048606931474	0.24673987109766246	0	0	0.009509278138878294	0	0	0	0.29	0.06388600276328231	1.0471389706068104
TCGA-04-1362-01	0.0770068436637648	0	0.024541700650347685	0	0	0.25077224103475304	0	0.05611251596809526	0	0	0	0.0677287479448031	0.08421172282760916	0	0.02076314206855808	0.30313965741481763	0	0.11376690516161941	0	0.0019565232656318233	0	0	0.47	0.0331510498401472	1.074838588356674
TCGA-61-2113-01	0.04561060210470537	0	0.061535220298225654	0.031542868526200495	0	0.16285766744821997	0	0.09652894887136552	0	0	0.028532907998353802	0.0030677253088818683	0.013475218006645308	0.1117669743218222	0.10602731991518993	0.24903714562625112	0	0.0894132579987999	0	0.0006	0	0	0.18	0.09512737046097859	1.0569404724313756
TCGA-24-1924-01	0.04872854947549997	0	0.045068022930384734	0.12359524890396187	0	0.15073990407325463	0	0.1118022686775142	0.001	0	0.00797112107252313	0.018367539582599166	0.037942535844059294	0	0.17028937782293593	0.26761936845929996	0.0022409556550906868	0	0	0	0	0.014649300194673103	0.02	0.20902155196303462	1.0138753798885578
TCGA-31-1946-01	0	0	0.02550885472535384	0	0	0.10375692362191762	0	0.0621220060214999	0.060088462799312244	0	0.007316018799025477	0.005463801249158542	0	0.44060268697040533	0.04683581111615782	0.21176282020751536	0	0	0.03654261448965393	0	0	0	0.01	0.2815437095882359	1.0047865951248
TCGA-29-1699-01	0.04422590570960723	0	0.056151397981702156	0	0	0.07609465267505118	0	0.0541989727985444	0.03109203324504219	0	0.06675116277107898	0.010342783531689059	0.024572862117892502	0	0.11232992109677038	0.38060009587384747	0	0.07693527915367467	0.06353002139507771	0	0	0.0031749116500221514	0.04	0.18395072541013568	1.0177304198838886
