,HH-001,HH-002,HH-003,HH-004,HH-005,HH-006,HH-007,HH-009,HH-010,HH-011,HH-012,HH-013,HH-014,HH-015,HH-016,HH-017,HH-018,HH-019,HH-020,HH-021,HH-022,HH-023,HH-024,HH-025,HH-026,HH-027,HH-028,HH-029,HH-030,HH-032,HH-033,HH-034,HH-035,HH-036,HH037,HH038,HH039,HH040,HH041,HH042,HH043,HH044,HH045,HH046,HH047,HH048,HH-049,HH-050,HH-051,HH-053,HH-054,HH-055,HH-056,HH-058,HH-059,HH-060,HH061,HH062,HH063,HH064,HH065,HH066,HH067,HH068,HH069,HH070,HH071,HH072,HH073,HH074,HH075,HH076,HH077,HH078,HH079,HH080,HH081,HH082,HH083,HH084,HH085,HH087,HH088,HH089,HH090,HH091,HH092,HH093,HH094,HH095,HH096,HH097,HH098,HH099,HH100,HH101,HH102,HH103,HH104,HH105,HH106,HH107,HH108,HH109,HH110,HH111,HH112,HH113,HH114,HH115,HH116,HH117,HH118,HH119,HH121,HH122,HH123,HH124,HH125,HH126,HH127,HH128,HH129,HH130,HH131,HH132,HH052,HH057,HH086,HH120,HH143,HH144,HH145,HH146,HH147,HH148,HH149,HH150,HH008,HH031,HH133,HH134,HH135,HH136,HH137,HH138,HH139,HH140,HH141,HH142
DCN,4293.4,999.19,642.2,2311.3,348.69,116.86,136.64,1085.17,3580.99,16334.49,58.1,719.67,3179.98,690.73,4456.06,2622.48,2031.35,62.01,280.01,79.29,410.9,1300.53,16746.88,838.67,871.39,43.78,543.5,1679.98,407.28,1681.58,1179.17,4036.86,41.68,764.98,154.5,919.5,124.57,2785.6,221.22,231.22,985.31,2292.51,297.49,241.8,861.95,398.3,1561.7,7496.61,206.03,98.77,1431.68,611.29,663.87,274.12,509.83,539.93,169.3,1666.04,1115.54,408.53,94.2,5278.6,376.8,34.29,309.87,525.31,3681.12,1240.96,277.63,321.53,2532.29,39.63,363.73,92.87,5031.79,518.47,1621.79,759.27,1874.66,1468.2,296.22,58.2,114.59,2489.68,139.9,58.82,52.23,134.75,59.43,230.52,497.68,130.97,3107.61,646.29,212.71,332.28,1395.25,43.19,3201.64,4280.23,812.34,146.83,1913.88,1382.1,3405.51,167.41,3498.4,2082.87,2053.11,179.46,715.24,1703.02,3857.31,408.18,37.64,7302.03,1626.67,1425.8,7401.41,106.87,611.43,2091.83,3481.76,20806.38,2261.77,14889.79,1030.86,33.54,6394.75,4522.03,130.14,125.2,235.31,2959.48,1359.41,952.74,556.27,1780.37,18481.11,270.79,778.46,310.72,3296.26,9451.03,1651.62,2758.18,287.56,421.23,5626.39,1633.69
DEFB1,64.25,425.77,35.83,850.99,34.93,35.69,361.64,45.65,77.2,291.41,82.72,1787.76,595.38,94.19,248.4,244.91,133.33,231.3,1175.61,221.33,58.6,601.32,45.23,90.07,1316.05,146.33,211.84,37.34,386.11,91.23,243.76,91.75,1440.76,25.96,86.6,546.85,132.66,533.77,128.54,235.23,3460.36,210.07,311.9,1319.04,1275.44,28.8,16.91,160.89,423.84,377.93,54.61,53.97,13.15,117.6,4340.04,1865.75,1097.84,32.23,1174.82,65.41,145.34,2582.59,47.22,751.66,60.71,889.64,116.28,36.96,334.48,207.99,169.26,787.11,47.34,39.38,208.44,201.68,408.84,866.69,100.69,663.47,26.18,243.48,63.36,1353.22,65.01,24.04,538.96,254.73,75.54,97.79,769.77,80.31,54.65,785.61,41.25,78.98,27.08,26.4,102.35,47.14,141.15,312.67,484.62,257.66,618.3,166.12,14.37,375.26,3339.97,263.83,36.04,299.88,960.05,1012.39,37.64,110.62,92.51,104.53,58.29,1350.7,197.06,32.46,252.51,67.75,34.67,24.25,42.64,707.25,279.99,92.99,231.07,29.41,26.47,38.28,378.31,494.53,1562.18,35.62,108.19,28.1,48.01,337.82,1420.89,239.63,2547.81,996.8,669.72,636.66,546.28,45.78
DHCR24,955.33,1591.35,217.39,640.31,161.15,1055.33,570.31,416.16,915.87,1319.03,798.68,1816.32,3437.51,457.87,1746.88,170.27,2405.65,379.92,5448.06,2614.54,524.75,1283.15,214.82,1190.64,3375.59,1878.13,887.3,184.8,3258.28,758.41,3007.38,715.88,2403.08,728.95,1923.89,928.07,464.31,3687.61,5376.46,380.92,1901.47,643.56,311.9,1995.21,4187.32,1341.37,163.3,2387.1,705.23,1061.14,859.87,584.31,1705.27,575.05,2353.77,1336.01,1083.3,1726.31,1116.88,3107.28,1182.24,535.22,532.33,1717.92,434.44,1152.29,1176.5,339.07,4321.74,1750.93,2167.62,3595.47,545.6,561.66,1497.21,1420.34,1208.43,1444.08,3235.11,2925.29,220.07,1153.27,1694.6,1480.58,433.84,304.19,2900.16,431.93,1074.73,1910.49,1025.59,325.05,1131.07,947.37,996.53,829.34,968.86,1883.75,486.8,560.06,1081.94,667.65,1321.02,1746.95,843.77,417.23,1111.95,1724.61,2225.07,2245.92,1743.75,1085.55,2062.86,4100.6,50.68,1650.81,600.07,327.18,1045.25,2400.09,698.08,453.68,1498.08,172.34,1847.01,183.12,374.47,806.27,2107.25,904.58,2156.63,1133.3,1200.06,483.81,784.68,2335.76,1580.72,546.87,174.97,802.15,1327.15,2982.44,3116.99,409.62,1412.32,2197.49,3939.92,1825.04,1579.68,941.33
EFCAB1,24.55,32.97,67.15,152.85,34.93,35.69,274.02,129.06,36.06,26.08,236.35,74.25,43.14,771.84,38.3,171.05,34.88,347.44,28.8,30.15,138.76,26.59,14.79,38.75,39.07,29.08,40.66,37.34,49.82,30.69,49.54,55.57,31.14,25.96,33.41,25.42,192.52,42.43,64.27,371.56,25.77,847.55,481.14,34.78,33.57,1916.49,35.64,217.44,240.18,161.62,113.51,16.34,14.49,530.08,36.23,13.63,91.4,266.91,45.08,28.95,34.74,61.68,28.63,34.29,39.29,47.99,185.82,36.96,37.02,131.59,52.02,52.54,47.34,65.38,74.99,35.59,36.26,38,30.84,61.9,83,380.07,25.77,28.44,32.51,183.8,25.22,90.45,23.72,23.34,25.86,27.68,23.44,32.67,108.29,129.37,27.08,98.39,340.76,64.3,158.8,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,541.2,31.42,37.96,29.84,69.47,48.83,38.22,178.75,37.89,27.54,136.26,32.46,220.95,401.72,315.31,24.25,42.64,33.54,27.55,31.36,34.53,29.41,26.47,38.28,30.76,28.87,25.77,35.62,65.45,28.1,32.41,32.08,43.14,52.23,27.73,30.41,34.96,99.83,59.16,33.76
EFEMP1,24.55,118.75,35.83,121.86,199.66,618.02,23.42,189.64,161.81,899.16,35.96,33.51,109.85,34.93,1091.55,510.03,34.88,52.17,49.29,99.98,32.42,446.64,970.08,69.64,98.02,447.06,216.12,348.79,197.13,232.83,160.53,366.99,31.14,90.08,33.41,107.08,36.17,47.75,42.76,173.75,143,168.78,34.21,34.78,2178.74,212.55,232.1,1354.04,1056.07,88.16,1403.84,103.28,33.24,94.26,98.34,163,30.24,50.58,64.6,176.09,34.74,1354.97,169.42,183.77,39.29,47.99,1028.3,241.95,27.52,43.51,52.02,252.54,172.73,815.74,246.57,386.24,738.99,84.23,131.85,950.76,412.73,43.95,25.77,173.9,91.86,24.04,25.22,180.89,23.72,43.66,25.86,330.78,1096.02,92.88,64.46,128.01,94.99,88.79,254.63,164.69,115.75,25.6,195.57,34.65,59.48,31.3,423.11,223.59,94.48,234.37,401.97,389.51,527.78,204.09,87.46,1509.02,119.52,1079.8,906.31,127.65,240.38,335.97,146.89,394.59,328.65,1624.45,109.76,155.6,635.63,399.03,25.79,29.41,26.47,195.88,247.35,382.77,25.77,911.45,7570.35,180.53,96.88,41.6,748.61,85,426.98,240.14,321.17,501.8,488.05,131.7
ENG,377.1,346.86,498.6,230.3,137.62,166.25,113.62,190.52,756.17,1148.4,145.75,311.29,469.84,261.64,384.72,986.64,668.28,98.43,224.42,82.05,225.66,383.5,970.08,155.93,272.53,306.49,176.18,437.59,303.02,404.4,167.46,564.7,273.65,148.28,192.88,642.51,103.54,350.19,106.12,240.58,693.01,822.05,230.7,237.46,532.76,226.84,868.72,1294.31,180.13,154.27,145.63,328.44,94.6,125.39,267.86,267.78,198.38,385.3,271.73,221.37,121.79,1130.13,193.49,391.24,144.18,346.32,644.11,694.63,210.2,259.99,439.9,293.09,279.03,120.36,925.27,219.76,458.59,510.25,417.12,407.92,229.21,168.66,258.84,427.4,236,124.07,71.23,107.06,203.46,190.35,569.77,315.49,779.48,285.61,180.48,492.97,398.94,275.96,384.45,325.43,316.18,258.25,645.75,352.48,430.18,141.65,727.54,673.37,471.47,633.47,321.13,385.09,362.91,302.11,539.45,1018.22,348.75,240.42,698.7,188.5,248.77,762.67,534.16,3122.26,1418.91,1843.01,220.59,97.44,1283.2,652.65,123.5,151.25,290.21,590.01,252.55,729.23,319.85,650.17,3531.4,260.56,548.69,148.11,493.7,497.69,375.37,577.69,239.01,289.87,610.98,282.84
FAM92B,24.55,32.97,35.83,52.67,34.93,35.69,200.5,29.89,36.06,26.08,64.01,33.51,43.14,308.74,38.3,176.49,34.88,224.41,28.8,30.15,32.42,26.59,14.79,38.75,39.07,29.08,39.81,44.8,49.82,30.69,35.83,33.86,31.14,25.96,33.41,25.42,36.17,42.43,42.76,159.05,25.77,475.99,199.59,34.78,33.57,125.03,19.07,43.01,17.4,41.63,43.9,16.34,13.15,312.17,19.55,13.63,74.78,32.23,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,32.5,36.96,27.52,25.99,52.02,28.97,47.34,39.38,30.84,35.59,36.26,38,30.84,25.26,26.18,451.33,25.77,28.44,32.51,24.04,25.22,8.91,23.72,23.34,25.86,27.68,23.44,32.67,48.99,41.6,27.08,9.07,34.69,47.14,39.52,25.6,34.68,34.65,29.63,31.3,14.37,36.3,38.36,25.64,166.18,31.42,37.96,29.84,61.3,48.83,38.22,37.51,37.89,27.54,40.1,32.46,33.25,93.89,107.93,24.25,42.64,33.54,27.55,31.36,25.79,29.41,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,30.82,27.73,30.41,34.96,49.92,34.64,33.76
FEN1,402.24,307.8,436.11,117.73,474.9,202.39,129.95,308.17,343.72,331.67,191.05,335.56,445.84,34.93,302.93,102.63,228.92,71.85,247.5,300.62,400.8,319.2,119.85,197.56,444.66,411.35,114.83,939.19,242.74,194.71,529.14,289.46,456.69,235.59,527.47,319.83,98.69,519.98,294.46,109.6,331.58,153,182.89,548.75,273.54,116.1,398.71,288.33,927.74,593.42,153.13,186.09,198.56,147.87,540.89,245.95,627.34,121.62,299.7,507.15,265.78,575.02,158.31,1355.13,154.93,420.46,82.08,415.39,464.03,169.79,322.98,506.92,372.87,572.8,170.31,443.32,388.04,377.19,671.24,738.07,634.32,688.87,457.02,433.52,144.14,858.36,239.8,286.11,320.3,511.68,186.05,383.36,236.11,305.73,351.95,424.88,412.66,383.95,505.52,384.09,227.96,334.26,265.68,375.16,183.97,336.11,245.09,397.49,277.78,673.64,113.41,322.01,273.44,385.35,460.98,387.97,323.37,656.45,229.97,155.85,456.3,85.83,1251.64,61.8,298.34,94.51,180.78,1194.47,521.51,426.08,248.33,132.44,26.47,110.92,160.05,500.12,125.16,35.62,81.47,217.75,185.18,286.77,313.73,158.73,469.21,387.39,231.54,248.71,177.47,193.78
GINS2,131.29,105.47,111.02,57.83,236.03,65.05,46.04,165.06,202,118.87,50.23,422.67,290.77,34.93,214.07,38.87,59.44,37.4,74.46,52.4,171.1,147.72,52.01,78.72,109.97,110.61,54.92,506.39,49.82,62.63,84.23,93.04,77.02,97.01,197.8,82.81,36.17,118.85,144.99,42.77,66,64.36,80.44,123.07,85.88,28.8,83.72,77.26,150.7,314.26,95.3,20.47,50.28,51.02,129.4,50.94,182.8,144.22,112.55,195.21,48.45,137.29,28.63,650.89,124.89,148.27,32.5,173.44,133.53,106.12,98.94,154.84,191.83,199.85,58.46,107.5,120.3,61.03,173.8,130.15,338.86,167.47,130.77,80.83,32.51,343.71,156.7,77.53,136.98,164.16,25.86,90.82,94.86,101.39,113.45,181.12,67.55,268.76,1147.1,101.52,73.4,88.1,57.81,254.57,141.09,54.09,141.9,86.3,110.54,242.4,48.28,105.12,64.34,41.62,266.45,83.36,110.52,158.89,90.23,96.48,176.79,32.46,371.49,35.61,129.76,55.13,132.35,262.47,108.81,96.38,138.11,36.91,26.47,38.28,115.36,623.06,25.77,35.62,57.43,51.18,42.87,92.65,102.24,122.89,157.19,223.15,196.68,174.27,164.53,48.29
HLA-DQA2,24.55,32.97,35.83,38.78,34.93,35.69,23.42,29.89,72.97,26.08,35.96,33.51,43.14,34.93,38.3,38.2,34.88,31.77,28.8,30.15,32.42,33.02,115.32,52.23,39.07,29.08,39.81,37.34,49.82,30.69,35.83,33.86,31.14,25.96,33.41,25.42,36.17,42.43,42.76,30.34,25.77,78.93,76.65,34.78,33.57,28.8,16.91,26.39,37.67,25.55,20.35,16.34,13.64,19.16,19.55,13.63,30.24,32.23,45.08,28.95,34.74,25.72,28.63,34.29,39.29,47.99,32.5,36.96,27.52,25.99,52.02,28.97,47.34,39.38,68.63,35.59,36.26,53.71,30.84,25.26,26.18,71.26,25.77,39.19,32.51,24.04,25.22,8.91,23.72,23.34,25.86,27.68,23.44,32.67,26.9,41.6,27.08,9.07,34.69,47.14,35.9,25.6,65.19,34.65,29.63,31.3,14.37,36.3,59.52,25.64,36.04,31.42,37.96,29.84,37.64,48.83,38.22,37.51,75.86,27.54,40.1,32.46,33.25,35.61,34.67,24.25,42.64,33.54,45.12,31.36,25.79,29.41,26.47,38.28,30.76,28.87,25.77,35.62,29.89,28.1,179.18,32.08,43.14,30.82,27.73,30.41,34.96,41.51,34.64,33.76
IL1B,86.59,36.72,35.83,53.7,34.93,50.6,27.48,29.89,40.19,97.78,35.96,52.83,164.31,34.93,72.7,38.2,48.19,31.77,53.48,30.15,32.42,82.26,54.27,71.91,39.07,95.63,39.81,58.4,115.67,138.88,37.65,167.99,61.62,25.96,33.41,149.92,36.17,42.43,42.76,64.15,47.14,74.07,103.21,72.4,33.57,28.8,16.91,58.14,41.21,97.95,20.35,16.34,25.57,72.64,54.35,77.13,58.16,51.66,45.08,28.95,34.74,119.38,38.88,64.02,39.29,91.08,64.98,36.96,27.52,30.77,80.95,65.44,47.34,63.15,113.12,135.09,58.79,47.61,39.55,41.27,102.8,32.99,25.77,80.83,32.51,24.04,33.24,25.84,70.51,45.4,25.86,27.68,26.81,86.69,26.9,137.54,136.15,158.38,137.3,82.34,72.69,38.87,61.5,43.29,51.18,77.27,165.12,54.92,120.94,62.94,386.25,44.26,56.3,138.3,37.64,250.85,40.93,37.51,198.83,139.52,40.1,32.46,69.2,76.07,297.12,104.36,42.64,57.37,69,38.04,25.79,29.41,26.47,38.28,72.75,240.28,25.77,425.34,45.41,51.18,180.9,32.08,147.76,491.55,72.73,100.81,88.38,101.59,34.64,39.51
IL1RN,97.77,71.87,35.83,57.83,34.93,109.63,23.42,29.89,36.06,55.6,35.96,58.54,84,34.93,38.3,38.2,115.66,31.77,32.51,30.15,32.42,34.76,287.18,38.75,39.07,63.37,41.37,37.34,115.67,92.59,40.63,73.66,51.65,25.96,34.44,79.96,36.17,42.43,42.76,30.34,25.77,45.92,34.21,62.26,60.43,28.8,16.91,27.88,17.4,66.12,18.2,51.17,29.83,29.4,112.58,37.84,41.55,32.23,61.27,41.26,34.74,69.64,28.63,80.62,39.29,52.95,32.5,36.96,27.52,25.99,70.32,66.36,47.34,45.32,30.84,35.59,67.84,38,71.92,53.97,50.26,55.82,25.77,91.85,32.51,24.04,25.22,16.61,45.33,48.9,25.86,118.55,43.3,32.67,105.71,130.73,63.32,95.99,86.13,47.14,35.9,25.6,82.41,47.41,29.63,31.3,51.6,66.68,38.36,81.69,36.04,40.94,44.23,29.84,37.64,115.3,119.52,57.49,78.25,166.24,55.2,32.46,33.25,35.61,65.49,51.19,60.26,40.08,38.48,60.02,25.79,34.01,26.47,38.28,32.22,83.82,25.77,35.62,29.89,28.1,166.32,32.08,43.14,138.25,220.53,58.9,69.71,41.51,80.42,33.76
KRT23,298.89,846.85,35.83,2290.65,34.93,98.79,4197.85,208.96,182.96,807.14,41.36,1489.32,958.15,2532.68,360.48,1637.4,2226.53,3341.54,1491.27,1420.34,474.22,848.68,1225.6,192.26,2404.99,127.9,39.81,37.34,84.72,185.18,1350.6,124.05,934.23,304.88,43.3,1020.87,2869.99,789.52,42.76,2020.87,1609.18,1837.17,2340.43,1104.75,139.95,2409.46,92.01,641.18,2178.08,408.95,1993.86,1728.74,80.11,3035.2,1326.34,2239.78,272.12,32.23,693.3,860.34,318.27,244.73,187.01,262.01,146.71,675.7,802.57,52.03,191.7,177.22,748.98,496.78,47.34,60.18,381.29,35.59,894.56,637.2,1226.2,509.5,26.18,795.77,3232.82,2444.37,3002.99,24.04,639.86,247.34,108.78,23.34,1244.19,64.05,61.86,315.79,130.21,1450.32,303.96,52.79,459.34,234.63,1534.34,463.82,1937.25,721.45,2635.05,1052.1,399.89,303.34,689.72,273.21,2722.86,506.81,818.31,2598.12,37.64,267.21,67.13,37.51,231.57,43.04,76.17,299.18,993.05,304.26,191.61,372.15,75.32,33.54,335.73,161.47,363.87,29.41,243.15,197.06,1833.34,282.19,757.91,431.42,80.14,2523.69,103.74,640.35,443.98,187.4,565.4,357.94,72.2,150.63,1068.52,45.15
LAMC2,3459.58,239.84,719.98,5749.33,333.72,798.73,1229.73,541.71,1402.36,753.46,869.58,2600.25,2331.68,2456.8,819.92,944.65,670.69,2052.17,1672.7,1798.87,633.87,976.12,976.86,604.03,951.48,326.08,758.91,207.2,1850.7,976.27,1937.21,1015.68,1345.61,575.12,1181.89,1008.02,2112.86,1172.61,1783.19,1857.81,3842.22,2043.59,1692.33,1151.08,1372.45,1675.37,851.31,999.6,1000.74,642.39,2860.15,893.22,677.51,2560.47,2587.98,1874.49,887,786.74,475.52,593.68,423.91,549.15,273.11,1836.48,252.95,661.93,1161.68,408.45,3081.67,371.41,2413.73,1228.6,484.15,245.91,512.2,1014.12,359.09,1134.02,1107.54,522.2,78.43,1156.83,1942.66,925.82,3720.88,559.68,661.23,664.5,1877.5,502.94,1253.49,880.49,1713.62,248.45,872.77,5060.45,588.92,388.75,1668.85,255.49,924.56,320.44,3554.7,863.68,1121.8,1486.07,629.5,1491.88,330.69,459.36,1421.5,1549.21,696.67,453.83,511.66,1671.84,619.72,1288.87,1892.47,1557.01,468.88,389.92,2469.28,323.28,341.99,667.5,1007.19,765.4,2602.22,396.49,703.83,954.55,549.05,538.09,1186.89,1757.41,1661.84,1458.32,1141.96,3080.17,1675.23,3221.94,1191.19,731.18,4340.2,2709.48,476.77,1298.72,4535.68,1055.47
LDLR,69.83,463.27,36.56,992.48,75.59,244.56,898.53,214.23,51.82,222.39,109.31,444.08,285.23,1064.88,146.41,420.62,569.48,485.24,372.29,382.67,292.35,373.07,126.63,242.22,756.64,585.33,141.23,182.4,175.95,148.41,227.91,133.1,318.96,45.73,237.16,138.5,1100.11,264.23,306.42,450.42,914.59,505.13,239.05,399.62,1113.23,300.07,195.63,653.13,551,129.78,170.26,152.59,92.89,630.39,665.11,170.28,344.83,164.67,69.93,156.97,35.66,145.25,28.63,1091.93,201.1,279.6,296.41,64.17,427.02,286.52,443.17,287.56,105.47,142.64,180.48,35.59,159.19,252.68,210.96,485.7,90.62,188.85,483.98,231.46,255.78,92.82,263.54,81.22,159.14,227.02,25.86,56.4,181.47,271.67,176.62,626.43,329.29,155.98,317.04,105.47,133.39,42.32,1254.6,170.06,445.4,127.49,276.05,211.82,278.72,241.07,133.62,445.95,326.72,370.58,105.44,401.99,139.17,59.58,206.81,388.88,150.24,377.66,625.21,275.74,357.76,356.39,42.64,609.02,587.85,421.01,74.37,30.4,368.65,105.02,164.21,2235.18,1399.94,407.12,785.35,602.08,101.17,695.82,460.79,261.13,3659.84,433.83,414.53,211.05,724.67,75.26
LRG1,71.23,337.49,35.83,303.63,34.93,368.64,201.24,38.63,36.06,195.55,77.8,813.92,88.61,261.64,252.44,148.5,131.73,245.08,144.72,480.57,37.05,56.19,45.23,38.75,135.07,51.85,63.48,152.8,236.23,132.08,35.83,208.05,323.49,25.96,33.41,254.15,223.26,271.66,101.64,539.97,105.29,320.56,330.88,34.78,120.86,389.37,16.91,334.53,220.16,315.08,72.82,277.27,156.81,303.52,40.11,225.58,156.83,32.23,152.51,28.95,65.27,69.64,28.63,488.46,100.23,57.19,181.26,61.57,294.81,33.96,298.45,28.97,47.34,173.1,77.53,60.89,182.71,172.12,75.51,190.47,26.18,1452.57,25.77,162.88,384.38,50.55,32.05,103.37,54.39,391.18,25.86,89.87,159.81,376.94,26.9,382.67,64.38,117.58,143.54,61.48,40.23,68.23,656.82,371.03,29.63,182.86,180.6,496.86,208.81,25.64,286.32,1141.99,126.67,132.93,37.64,314.74,169.46,37.51,128.56,388.88,195.66,32.46,126.26,73.69,116.42,53.16,46.27,877.78,86.25,85.39,62.41,29.41,26.47,38.28,104.97,181.61,71.85,35.62,165.62,70.72,366.94,32.08,162.47,74.76,403.52,197.09,92.12,360.8,204.28,74
LRRC46,24.55,32.97,35.83,83.65,34.93,35.69,568.82,44.78,36.06,26.08,125.07,33.51,43.14,1834.1,52.51,252.68,36.95,584.65,34.61,67.57,32.42,36.5,14.79,38.75,39.07,29.08,39.81,37.34,49.82,30.69,78.28,33.86,31.14,25.96,33.41,47.12,258.85,42.43,42.76,419.68,47.14,931.33,611.67,34.78,33.57,410.81,31.5,139.39,69.46,66.12,54.61,16.34,29.83,574.18,19.55,24.74,93.48,100.09,45.08,28.95,34.74,25.72,28.63,65.21,39.29,47.99,120.84,36.96,27.52,36.08,52.02,28.97,63.11,39.38,30.84,35.59,36.26,38,30.84,85.71,26.18,329,25.77,28.44,32.51,24.04,25.22,25.84,23.72,23.34,25.86,27.68,23.44,32.67,266.86,41.6,27.08,9.07,89.87,47.14,63.52,25.6,34.68,34.65,45.65,31.3,14.37,36.3,38.36,42.86,458.11,31.42,37.96,29.84,84.19,48.83,38.22,39.72,37.89,27.54,94.34,32.46,33.25,207.99,81.25,24.25,42.64,33.54,27.55,31.36,46.48,29.41,26.47,49.56,69.63,28.87,25.77,35.62,29.89,28.1,32.41,32.08,43.14,32.77,27.73,30.41,34.96,139.24,43.44,33.76
LTBP4,428.78,147.65,466.03,455.44,129.07,439.72,100.25,756.81,784.73,243.48,299.38,131.37,179.08,2161.15,141.37,285.34,326.11,268.7,130.04,92.39,135.4,78.79,364.06,261.9,87.26,182.05,458.63,144.8,633.74,243.73,89.18,478.12,105.11,1906.9,556.01,401.21,317.09,113.55,476.81,114.94,227.86,678.77,101.69,79.63,462.78,525.12,464.2,383.11,60.04,158.35,246.29,126.54,59.65,147,77.64,68.4,379.1,2137.44,178.49,437.72,77.38,298.45,535.11,34.29,70.83,185.34,394.45,564.55,148.07,78.53,171.71,267.29,768.99,388.55,634.22,150.31,233.36,112.3,282.88,68.25,1059.23,125.9,84.93,375.96,192.19,562.44,39.18,116.29,116.84,571.05,413.96,4306.85,144.35,105.26,568.53,641.41,306.07,343.15,71.15,140.44,172.21,35.41,709.71,191.7,326.44,86.28,157.38,397.49,84.09,52.23,200.99,298.78,117.62,95.33,542.71,199.44,117.89,174.57,243.55,145.46,104.12,573.84,76.48,1748.33,670.65,1390.13,552.02,33.54,282.65,325.48,1143.39,1441.59,705.92,1044.31,487.43,402.33,317.54,589.41,1738.99,68.86,937.92,310.72,126.75,403.48,532.55,172.17,280.09,410.72,256.96,1298.8
MAD2L1,325.43,250.77,479.32,179.7,492.02,239.74,154.46,575.95,363.81,408.36,322.03,211.33,662.76,96.81,203.97,138.39,609.65,166.34,663.83,477.81,427.75,480.24,117.59,250.54,393.26,329.54,384.45,992.79,314.42,242.36,705.52,351.48,280.9,336.76,601.28,205.6,113.25,533.77,615.82,137.67,190.15,194.28,188.21,463.33,227.42,169.68,269.4,298.69,498.01,458.74,122.07,265.17,534.33,220.51,283.38,224.12,371.83,327.18,289.04,621.86,191.1,656.59,150.91,347.38,539.1,548.61,85.5,1058.85,260.44,313.05,849.55,474.66,365.39,785.28,200.81,538.45,755.27,310.06,274.49,407.92,530,1932.41,1562.49,471.48,98.92,880.41,552.02,537.14,213.54,778.87,183.72,268.64,621.73,438.86,428.01,208.36,664.91,681.51,939.9,486.17,203.97,483.68,293.97,427.72,262.81,280.73,348.29,351.72,256.99,344.19,135.86,625.22,409.15,150.38,299.96,264.88,112.97,1221.97,681.13,93.51,338.91,32.46,369.06,116.48,326.23,98.45,252.87,776.4,595.82,273.06,297.47,254.02,26.47,184.08,206.82,846.57,217.87,35.62,118.87,190.77,306.92,444.34,306.03,230.41,293.26,347.75,417.02,332.78,360.49,370.01
MCM2,498.62,721.07,1039.75,204.49,914.87,715.6,92.08,976.3,1631.86,276.08,623.38,1159.47,752.3,201.46,735.1,111.96,844.99,149.61,317.76,491.6,533.5,684.16,122.11,340.62,455.42,509.28,550.64,1083.18,404.03,362.19,342.85,364.4,351.58,304.88,1256.68,623.95,186.05,474.35,967.08,185.78,287.58,177.28,286.1,705.13,413.48,192.9,430.21,369.57,718.18,1070.11,202.38,147.01,320.43,177.27,394.67,238.68,865.18,599.47,568.09,466.9,298.76,489.46,313.85,1403.74,871.74,571.91,161.88,602.7,745.63,233.46,515.94,820.29,638.61,1095.83,577.02,560.33,400.7,378.41,348.8,665.05,1742.29,394.32,551.39,296.36,165.34,1310.51,491.47,529.76,491.53,848.72,386.05,560.23,780.51,397.06,559.5,834.78,833.77,525.53,1065.96,664.96,366.29,627.92,316.11,393.71,413.59,417.23,575.33,324.26,443.12,857.12,159.44,471.4,382.01,214.83,675.94,227.48,392.95,604.19,459.94,377.01,540.16,608.18,853.44,82.01,548.16,222.5,494.99,795.26,459.14,315.33,228.41,629.61,266.68,556.97,435.47,1276.84,245.68,425.34,152.26,357.34,364.37,412.83,460.09,284.69,891.5,739.67,941.1,612.14,246.8,513
MCM4,507,714.04,448.08,268.52,849.27,646.93,274.76,710.28,1559.94,703.61,813.45,823.91,1464.91,253.79,693.7,171.05,1147.8,246.06,695.3,988.04,967.31,614.64,178.64,442.8,757.84,739.73,487.87,1666.38,623.96,540.56,1126.65,719.76,541.87,455.94,968.34,932.35,187.67,635.65,672.62,276.67,523.3,299.92,433.33,871.64,836.51,387.59,566.99,955,1149.08,1585.17,538.62,283.78,507.92,369.24,1551.49,282.34,933.73,390.68,791.2,645,392.28,777.96,245.34,4052.34,582.42,820.79,264.48,600.97,1187.19,488.14,1148.81,1343.81,477.5,1017.82,705.39,566.99,1020.29,1934.79,647.26,865.05,2675.12,756.57,626.88,858.47,152.62,1066.97,1149.14,688.5,830.97,1325.47,332.56,340.34,815.57,487.62,876.64,1028.16,1346.7,1507,1261.93,888.31,590.02,1860.45,429.27,565.83,1045.72,533.13,768.82,713.9,459.19,743.28,225.69,1010.3,923.86,341.05,880.28,545.33,715.5,2252.64,687.52,472,1096.39,873.03,2227.7,185.41,801.62,230.38,346.49,1856.93,716.57,547.82,613.52,442.18,266.68,455.49,346.09,1765.79,468.19,698.78,332.57,872.87,333.5,882.38,1097.35,502.81,1592.97,813.3,921.18,869.61,489.89,528.05
