"","Differentiated","KRT17","EMT","Cell_cycle","Ciliated","P-value","Correlation","RMSE"
"TCGA-61-1910-01",0.572475013515951,0,0,0.427524986484049,0,0.035,0.425147603872985,0.96042601928646
"TCGA-61-1728-01",0,0.700606178537063,0,0.299393821462937,0,0.054,0.377803451600579,0.955146031676733
"TCGA-09-1666-01",0.536921334735021,0.415544832334209,0.0475338329307706,0,0,0.164,0.228814232505167,1.11899658509208
"TCGA-24-1469-01",0.101641344324143,0.042110865492082,0,0.856247790183775,0,0.024,0.473479791977633,0.889818516690458
"TCGA-04-1348-01",0,0.137628729604397,0,0.862371270395603,0,0.037,0.414410579657284,0.924068265243724
"TCGA-61-1917-01",0.118024768869209,0,0.185868644306452,0.696106586824339,0,0.388,0.099799540410067,1.08763902536115
"TCGA-61-2009-01",0.670723928271871,0,0.329276071728129,0,0,0.462,0.0709378062801659,1.21865867654233
"TCGA-31-1950-01",0.162151062830792,0.584189144665494,0,0.253659792503714,0,0.005,0.583870514125761,0.818015383718332
"TCGA-31-1951-01",0.169705027055814,0.473980999132166,0.356313973812019,0,0,0.0620000000000001,0.357983248546911,0.970044817062076
"TCGA-61-1995-01",0.598322193697039,0.388937990718581,0.0127398155843802,0,0,0.038,0.408659490288267,1.00067309672743
"TCGA-24-2297-01",0.550785125794588,0,0,0.43036415559491,0.0188507186105023,0.016,0.500853509573341,0.894739213560664
"TCGA-24-1555-01",0.504118099528698,0.241769309853705,0,0.254112590617597,0,0.00600000000000001,0.563387913001326,0.848751856721593
"TCGA-25-1322-01",0.435193311135479,0.325427710761644,0.239378978102877,0,0,0.088,0.314259137996069,1.0247288892358
"TCGA-24-1427-01",0,0,0.752789330385591,0.247210669614408,0,0.129,0.2644931871579,1.06030346928725
"TCGA-29-1698-01",0.341923500443264,0,0.525133260090594,0.132943239466142,0,0.202,0.203467600081869,1.08816170079085
"TCGA-23-1023-01",0.144873829631661,0.585346420166366,0.269779750201973,0,0,0.054,0.376581616074279,0.958075306851745
"TCGA-13-0924-01",0,0.687060435657413,0,0.312939564342586,0,0.139,0.248286976024386,1.03268445784199
"TCGA-24-1847-01",0.101399867421328,0.663034688959737,0.184671588081321,0,0.0508938555376134,0.018,0.49445109428034,0.872592036887642
"TCGA-24-1843-01",0.114943539184565,0,0.201569676159789,0.683486784655645,0,0.713,-0.0190660931903553,1.14419522873078
"TCGA-25-1321-01",0.654838524585953,0,0,0.32670123047576,0.0184602449382874,0.035,0.425342075658019,0.968317099400503
"TCGA-30-1891-01",0,0.375438588786923,0.624561411213077,0,0,0.0620000000000001,0.357966263538527,0.981459943399715
"TCGA-25-1326-01",0,0.39113792954115,0.566981918833402,0.0418801516254483,0,0.0620000000000001,0.357642401290692,0.970245516394183
"TCGA-29-2414-01",0.278141402525984,0,0.432455330754636,0.28940326671938,0,0.188,0.213212365683483,1.05363127508685
"TCGA-09-1670-01",0.443687247609823,0.513702474978447,0.0426102774117299,0,0,0.00600000000000001,0.569437610639234,0.848848146450232
"TCGA-24-2033-01",0,0,0.661768647066408,0.338231352933592,0,0.14,0.247435446789407,1.04372897929384
"TCGA-29-2414-02",0.509829362615244,0,0.214925061040159,0.275245576344598,0,0.028,0.446905362571153,0.922445593674459
"TCGA-61-1741-01",0.522254033334581,0,0.252444054641594,0.225301912023826,0,0.28,0.152817903762442,1.12083076551222
"TCGA-31-1953-01",0.319206113344269,0.181935319586116,0.151516417159873,0.347342149909743,0,0.28,0.152645730852487,1.08994598281561
"TCGA-30-1855-01",0,0.383398635669719,0.215691559991201,0.400909804339079,0,0.212,0.195960411840599,1.02639164907903
"TCGA-25-1324-01",0.0785815904061525,0,0.309014526775447,0.6124038828184,0,0.071,0.339844999965977,0.953315388227525
"TCGA-09-2056-01",0.143664925458318,0.659169015120531,0.0151056430865164,0.182060416334634,0,0.004,0.588134635305125,0.815289992347251
"TCGA-29-1701-01",0,0,0.131061909932447,0.868938090067553,0,0.484,0.0637218091953683,1.10614633439561
"TCGA-25-1633-01",0.479771330845899,0,0.520228669154101,0,0,0.232,0.180128433225935,1.13312669336785
"TCGA-25-2396-01",0,0.130549542322455,0.261184231735036,0.608266225942508,0,0.052,0.378807855770618,0.927481728756101
"TCGA-61-1914-01",0,0.570080906746403,0.15551844966683,0.274400643586767,0,0.044,0.394723005977431,0.928744569686057
"TCGA-61-2094-01",0,0.893207427886421,0.0289135616714883,0.0778790104420912,0,0.00600000000000001,0.581321459666274,0.82096937856688
"TCGA-29-1705-01",0,0.629682531350814,0.249977242516727,0.12034022613246,0,0.186,0.214832556726294,1.03549750093591
"TCGA-36-1580-01",0.119587689406882,0.0530304102034946,0.689724564370037,0.137657336019586,0,0.054,0.376994230668913,0.979529544685015
"TCGA-25-2401-01",0,0,0.535867720904035,0.464132279095965,0,0.212,0.195292658751646,1.04574110292949
"TCGA-5X-AA5U-01",0.712450404595991,0,0.0375013500195471,0.250048245384462,0,0.016,0.502964350513549,0.914387331643577
"TCGA-13-0916-01",0.511255902048261,0,0,0.488744097951739,0,0.048,0.388459218202641,0.979571473526205
"TCGA-23-2084-01",0,0.444324991936851,0.347436165314154,0.176326061866475,0.0319127808825189,0.016,0.501129497777856,0.858685140306778
"TCGA-36-1577-01",0.654429487333547,0,0,0.345570512666453,0,0.419,0.0867967881732722,1.2094867886012
"TCGA-24-1551-01",0.174470541609888,0.446770932672638,0.088168722796134,0.29058980292134,0,0.071,0.343529699096319,0.973829580109107
