"Variate","n","Hazard_ratio","p","CI_low","CI_high"
"EMT",141,3.0908618872127,0.0227762747194596,1.17021769472308,8.16380340931757
"Stage",140,2.62646117240127,0.0118331833740797,1.2382867059707,5.57084095054045
"Grade",123,0.136190081278249,0.048586804437474,0.0187785838886717,0.987706972396629
"Residual_disease",134,1.99533618049238,0.0128903520238501,1.15759811882777,3.43933391772752
